plotID,county_region,county,own_land,community_land,government_land,mosque_church_land,school_land,other_land,crops,croplist,species_name,plant_date,number_planted,number_survived,woodlot,internal_boundary,external_boundary,garden,crop_field,pasture_grassland,fallow_bushland,mgt_prunning,mgt_fencing,mgt_weeding,mgt_watering,mgt_organic_fertilizer,Hectare
3656,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,sena spectabulis,2018-10-01,10,6,no,no,yes,no,no,no,no,yes,no,yes,no,yes,0.0359787218085114
16271,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"groundnuts, maize",grevillea robusta,2018-09-01,10,5,no,no,yes,no,yes,no,no,yes,no,no,no,no,0.0495490092697911
8363,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Banana & Beans,Grevillea Robusta,2018-10-01,30,23,no,yes,no,no,no,no,no,yes,no,no,no,no,0.0839506656579877
26837,"",Nyagatare,"","","","","","","","",Grenville Robusta,2018-11-01,15,13,no,no,yes,no,no,no,no,no,no,yes,no,no,0.045840039906919
15855,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Maize , Cassava, Beans",Spathodea companulata,2018-09-01,5,3,no,no,yes,no,no,no,no,yes,no,yes,no,no,0.0577865133249333
19968,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,"banana, Maize",Grevillea robusta,2018-10-01,15,8,no,yes,no,no,no,no,no,yes,no,yes,no,yes,0.0376307909289001
12140,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"maize,beans",Grevillea robusta,2018-11-01,8,8,no,yes,yes,no,yes,no,no,yes,no,no,no,no,0.135100167750795
28400,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Maize,Grevillea Robusta,2018-10-01,50,32,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,0.113875626826636
22147,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"maize,bananas, sorghum, beans,cassava",grevellea,2018-09-01,120,72,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,0.154704206607778
23803,Eastern,Kayonza,yes,no,no,no,no,"",No,"",Gereveriya,2018-12-01,20,20,no,no,yes,no,no,no,no,no,no,yes,no,yes,0.12836295791684
18929,Eastern,Gatsibo,yes,no,no,no,no,"",No,"",Grevilea robusta,2018-11-01,50,10,yes,no,no,no,no,no,no,no,no,yes,no,no,0.0319601998802211
7307,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,Acacia species,2018-03-01,50,30,no,no,yes,no,no,no,no,no,no,yes,no,yes,0.054596107748236
9659,Eastern,Bugesera,yes,no,no,no,no,"",No,"",eucalptus,2018-09-01,200,110,yes,no,no,no,no,no,no,no,no,no,yes,no,0.0481197760284867
26239,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"ibishyimbo, ibigori",grevillea,2018-11-01,5,3,no,yes,no,no,yes,no,no,no,no,yes,no,yes,0.0556917282995648
25280,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"ibishyimbo, ibigori,",Grevillea rubusta,2018-09-01,10,6,no,yes,no,no,yes,no,no,yes,no,yes,no,no,0.0648401792635305
2923,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"ibishyimbo, ibigori, imyumbati, intsina",eucalyptus,2018-11-01,2000,1400,yes,no,no,no,yes,no,no,yes,no,no,no,no,0.324076335667934
31194,Eastern,Kayonza,yes,no,no,no,no,"",Yes,maiz,grevellea robusta,2018-12-01,30,10,no,no,yes,no,no,no,no,no,no,yes,no,yes,0.289710699981223
8119,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"Groundnuts, Cassava, Maize, sunflower",Grevellea Robusta,2018-11-01,20,16,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,0.0414007458820963
3765,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Imyumbati+Ibihwagari+Amateke+Insina,Amapapayi,2018-11-01,5,3,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.0168312868668156
13829,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,grevellea robusta,2018-10-01,20,9,no,no,yes,no,no,no,no,no,no,yes,yes,yes,0.0290767691882777
37262,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Soya beans, cassava",Senna spectabilis,2018-11-01,30,20,no,no,yes,no,no,no,no,yes,no,yes,no,no,0.32724379132826
14948,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Intsina,imboga",Ibinyomoro,2018-11-01,2,2,no,no,no,yes,no,no,no,no,no,no,no,yes,0.000890418364488939
11825,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,Grevellea rubusta,2018-11-01,50,50,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,0.472175178328935
13903,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"Potatoes, beans ,",Persea americana,2018-12-01,10,6,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.49534836353009
22806,Eastern,Nyagatare,yes,no,no,no,no,"",No,"",grevillea,2018-11-01,38,24,no,no,no,no,no,no,yes,no,no,no,no,no,1.45398504124765
29878,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"intsina, imyumbati, ibigori,soya",spatodea,2018-11-01,5,1,no,no,no,no,yes,no,no,no,no,yes,no,no,0.315874687502844
3739,Eastern,Kayonza,yes,no,no,no,no,"",Yes,beans,glevirrea robusta,2018-11-01,18,15,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,0.0302901174680629
17907,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,groundnuts,Grevillea robusta,2018-11-01,6,5,no,no,yes,no,no,no,no,yes,no,yes,no,no,0.0274351412489207
1849,Eastern,Bugesera,yes,no,no,no,no,"",Yes,ibigori nibibiringanya,gereveria,2018-11-01,10,1,no,no,yes,no,no,no,no,yes,no,yes,no,no,0.0430274913563817
27728,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"beans, maize",Grevillea robusta,2018-10-01,46,41,no,no,no,no,no,no,no,yes,no,yes,no,no,0.358664080945839
29362,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"ibihwagari,ibigori,amateke",gereveliya,2018-12-01,12,11,no,no,yes,no,yes,no,no,no,no,no,no,yes,0.102015636394845
10230,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,maize,Mangifera indica,2018-11-01,120,94,no,yes,no,no,yes,no,no,no,no,yes,yes,no,0.413259863163549
21887,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,"Bananas, Cassava",Eucalyptus microcorus,2018-10-01,150,90,yes,no,no,no,no,no,no,no,no,yes,no,no,0.0399026713139067
11720,Eastern,Kayonza,yes,no,no,no,no,"",Yes,Banana,Avocat,2018-11-01,1,1,no,no,no,yes,no,no,no,no,no,yes,yes,yes,0.193625732970869
37403,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Banana,Grevillea Robusta,2018-11-01,8,7,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,0.0151790687053633
8294,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,Yarms.,Grevellea Robasta,2018-11-01,40,22,no,no,yes,no,no,no,no,yes,no,yes,no,yes,0.215708211291039
